Player	Team	Age	Role	Overall Risk	Last Injury
Jashaun Corbin	NYG	25	Satellite	Low	N/A
Isaiah Spiller	LAC	24	Satellite	Moderate	2023: Hamstring strain
Kenneth Gainwell	PHI	26	Satellite	Low	N/A
Justice Hill	BAL	27	Satellite	Moderate	2023: Toe injury
Tyler Badie	DEN	25	Satellite	Low	N/A
Darrynton Evans	BUF	27	Satellite	Moderate	2023: Knee sprain
La'Mical Perine	KC	26	Satellite	Low	N/A
Wayne Gallman	FA	28	Goal Line / Grinder	Moderate	2023: Concussion
Jaret Patterson	FA	26	Satellite	Low	N/A
D'Onta Foreman	CHI	29	Goal Line / Grinder	High	2024: Achilles injury
Matt Breida	NYG	30	Satellite	Moderate	2023: Ankle sprain
Boston Scott	PHI	30	Satellite	Moderate	2023: Concussion
Jerick McKinnon	KC	33	Satellite	High	2024: Knee injury
Rex Burkhead	HOU	35	Satellite	High	2023: Neck injury
Mark Ingram	FA	36	Goal Line / Grinder	High	2023: Knee injury
Latavius Murray	BUF	35	Goal Line / Grinder	High	2023: Hamstring strain
Devontae Booker	FA	33	Goal Line / Grinder	High	2023: Foot injury
Phillip Lindsay	FA	31	Satellite	Moderate	2023: Toe injury
Royce Freeman	FA	30	Goal Line / Grinder	Moderate	2023: Shoulder injury
Damien Williams	FA	33	Satellite	High	2023: Rib injury
Carlos Hyde	FA	35	Goal Line / Grinder	High	2023: Knee injury
Le'Veon Bell	FA	34	Satellite	High	2023: Ankle injury
Ty Johnson	NYJ	28	Satellite	Moderate	2024: Concussion
Kimani Vidal	ATL	23	Satellite	Low	N/A
Samaje Perine	DEN	30	Satellite	Moderate	2023: Knee sprain
Lan Larison	FA	24	Satellite	Low	N/A
LeQuint Allen	JAX	21	Satellite	Low	N/A
Woody Marks	HOU	23	Satellite	Low	N/A
D'Ernest Johnson	FA	29	Satellite	Moderate	2023: Ankle sprain
Keaontay Ingram	FA	25	Satellite	Moderate	2023: Hamstring strain
Jashaun Corbin	NYG	25	Satellite	Low	N/A
Tavion Thomas	FA	24	Satellite	Low	N/A
Deon Jackson	FA	26	Satellite	Moderate	2023: Quad strain
Sincere McCormick	FA	24	Satellite	Low	N/A
Tyler Goodson	FA	24	Satellite	Low	N/A
Ronnie Rivers	LAR	26	Satellite	Moderate	2023: Knee injury
Jerrion Ealy	FA	24	Satellite	Low	N/A
Master Teague	FA	25	Satellite	Low	N/A
Kevin Harris	NE	25	Satellite	Moderate	2023: Hamstring strain
Travis Dye	FA	25	Satellite	Low	N/A
Chris Evans	CIN	26	Satellite	Moderate	2023: Ankle sprain
Trestan Ebner	FA	25	Satellite	Low	N/A
Ty Chandler	MIN	26	Satellite	Low	N/A
Pierre Strong Jr.	CLE	26	Satellite	Low	N/A
Jordan Mason	MIN	26	Lead Back	Moderate	2024: High ankle sprain
Jaylen Warren	PIT	26	Lead Back	Low	N/A
Tyrone Tracy	NYG	24	Satellite	Low	N/A
Quinshon Judkins	CLE	22	Satellite	Low	N/A
Cam Skattebo	NYG	23	Satellite	Low	N/A
Michael Carter	ARI	26	Satellite	Low	2023: Ankle sprain
Evan Hull	PIT	25	Satellite	Low	2023: Knee injury
A.J. Dillon	PHI	27	Goal Line / Grinder	Moderate	2024: Neck injury
Keaton Mitchell	BAL	24	Satellite	Moderate	2023: ACL tear
Zamir White	LV	25	Lead Back	Moderate	2024: Shoulder injury
Kendre Miller	NO	24	Satellite	Moderate	2023: Knee sprain
Sean Tucker	TB	24	Satellite	Low	N/A
Tyjae Spears	TEN	24	Satellite	Moderate	2023: Knee injury
Deuce Vaughn	DAL	24	Satellite	Low	N/A
Chris Rodriguez Jr.	WAS	25	Goal Line / Grinder	Low	N/A
Trey Sermon	IND	26	Goal Line / Grinder	Moderate	2023: Ankle sprain
Zonovan Knight	DET	25	Satellite	Moderate	2023: Shoulder injury
Eric Gray	NYG	24	Satellite	Low	N/A
Jashaun Corbin	NYG	25	Satellite	Low	N/A
Isaiah Spiller	LAC	24	Satellite	Moderate	2023: Hamstring strain
Kenneth Gainwell	PHI	26	Satellite	Low	N/A
Justice Hill	BAL	27	Satellite	Moderate	2023: Toe injury
Tyler Badie	DEN	25	Satellite	Low	N/A
Darrynton Evans	BUF	27	Satellite	Moderate	2023: Knee sprain
La'Mical Perine	KC	26	Satellite	Low	N/A
Wayne Gallman	FA	28	Goal Line / Grinder	Moderate	2023: Concussion
Jaret Patterson	FA	26	Satellite	Low	N/A
D'Onta Foreman	CHI	29	Goal Line / Grinder	High	2024: Achilles injury
Matt Breida	NYG	30	Satellite	Moderate	2023: Ankle sprain
Boston Scott	PHI	30	Satellite	Moderate	2023: Concussion
Jerick McKinnon	KC	33	Satellite	High	2024: Knee injury
Rex Burkhead	HOU	35	Satellite	High	2023: Neck injury
Mark Ingram	FA	36	Goal Line / Grinder	High	2023: Knee injury
Latavius Murray	BUF	35	Goal Line / Grinder	High	2023: Hamstring strain
Devontae Booker	FA	33	Goal Line / Grinder	High	2023: Foot injury
Phillip Lindsay	FA	31	Satellite	Moderate	2023: Toe injury
Royce Freeman	FA	30	Goal Line / Grinder	Moderate	2023: Shoulder injury
Damien Williams	FA	33	Satellite	High	2023: Rib injury
Carlos Hyde	FA	35	Goal Line / Grinder	High	2023: Knee injury
Le'Veon Bell	FA	34	Satellite	High	2023: Ankle injury

